Academic,Subject(s),Papers
Academic 22,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 4239', 'Paper 3872', 'Paper 807', 'Paper 414', 'Paper 3925']"
Academic 23,['Physics'],[]
Academic 24,['Social Work and Social Policy'],"['Paper 2410', 'Paper 4401', 'Paper 2100', 'Paper 3481']"
Academic 25,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 4435', 'Paper 2826', 'Paper 2326', 'Paper 3186', 'Paper 2846']"
Academic 26,['Area Studies'],[]
Academic 27,['Area Studies'],[]
Academic 28,['Earth Systems and Environmental Sciences'],"['Paper 2986', 'Paper 2251']"
Academic 29,['Anthropology and Development Studies'],"['Paper 2534', 'Paper 2649', 'Paper 3002']"
Academic 30,['Law'],"['Paper 1168', 'Paper 286', 'Paper 1915', 'Paper 352']"
Academic 31,['Mathematical Sciences'],"['Paper 321', 'Paper 3207', 'Paper 181', 'Paper 2048', 'Paper 2863']"
Academic 32,['Archaeology'],"['Paper 4158', 'Paper 1741', 'Paper 2285', 'Paper 971']"
Academic 33,['Chemistry'],"['Paper 187', 'Paper 3445']"
Academic 34,['Archaeology'],[]
Academic 35,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 2989', 'Paper 834']"
Academic 36,['Anthropology and Development Studies'],[]
Academic 37,['Economics and Econometrics'],"['Paper 3585', 'Paper 4144', 'Paper 291', 'Paper 281', 'Paper 1477']"
Academic 38,['Anthropology and Development Studies'],[]
Academic 39,['Engineering'],"['Paper 1927', 'Paper 4946', 'Paper 648', 'Paper 1242', 'Paper 3765']"
Academic 40,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 150', 'Paper 4997', 'Paper 190']"
Academic 41,['Social Work and Social Policy'],"['Paper 4700', 'Paper 1691', 'Paper 2532']"
Academic 42,['Clinical Medicine'],[]
Academic 43,"['Agriculture, Food and Veterinary Sciences']",['Paper 962']
Academic 44,['Physics'],[]
Academic 45,['Geography and Environmental Studies'],"['Paper 4031', 'Paper 1517', 'Paper 1770', 'Paper 3981']"
Academic 46,['Sociology'],"['Paper 1717', 'Paper 4635', 'Paper 1286', 'Paper 591']"
Academic 47,['Clinical Medicine'],[]
Academic 48,['Archaeology'],"['Paper 1293', 'Paper 1695', 'Paper 939', 'Paper 3057']"
Academic 49,"['Social Work and Social Policy', 'Sport and Exercise Sciences, Leisure and Tourism', 'Modern Languages and Linguistics', 'Theology and Religious Studies']",[]
Academic 50,['Clinical Medicine'],[]
Academic 51,['Computer Science and Informatics'],"['Paper 2093', 'Paper 944']"
Academic 52,['Clinical Medicine'],['Paper 1878']
Academic 53,['Area Studies'],[]
Academic 54,['English Language and Literature'],"['Paper 2039', 'Paper 733']"
Academic 55,"['Architecture, Built Environment and Planning']",['Paper 2607']
Academic 56,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 3897', 'Paper 1454']"
Academic 57,['Anthropology and Development Studies'],['Paper 3060']
Academic 58,['Philosophy'],"['Paper 232', 'Paper 2043', 'Paper 1265']"
Academic 59,['English Language and Literature'],"['Paper 32', 'Paper 759']"
Academic 60,"['Business and Management Studies', 'Biological Sciences']",[]
Academic 61,['Sociology'],"['Paper 533', 'Paper 873', 'Paper 372', 'Paper 1071', 'Paper 1024']"
Academic 62,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 1870', 'Paper 1877', 'Paper 4215']"
Academic 63,['Sociology'],['Paper 799']
Academic 64,['Earth Systems and Environmental Sciences'],['Paper 301']
Academic 65,"['Psychology, Psychiatry and Neuroscience']","['Paper 4580', 'Paper 3467', 'Paper 2313', 'Paper 4939', 'Paper 219']"
Academic 66,['Anthropology and Development Studies'],['Paper 1950']
Academic 67,['Anthropology and Development Studies'],[]
Academic 68,['Chemistry'],['Paper 620']
Academic 69,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 3123', 'Paper 2372', 'Paper 1406', 'Paper 1612', 'Paper 1449']"
Academic 70,['Sociology'],"['Paper 2701', 'Paper 1965', 'Paper 4853', 'Paper 4230', 'Paper 1804']"
Academic 71,"['Psychology, Psychiatry and Neuroscience']","['Paper 1096', 'Paper 3212', 'Paper 220', 'Paper 368', 'Paper 2845']"
Academic 72,['Physics'],[]
Academic 73,"['Earth Systems and Environmental Sciences', 'Engineering']",[]
Academic 74,['Education'],"['Paper 1535', 'Paper 1583', 'Paper 4832', 'Paper 437', 'Paper 1104']"
Academic 75,"['Art and Design: History, Practice and Theory']",[]
Academic 76,['History'],"['Paper 893', 'Paper 3845', 'Paper 1786', 'Paper 3971', 'Paper 1595']"
Academic 77,['Biological Sciences'],"['Paper 924', 'Paper 3485']"
Academic 78,['Engineering'],"['Paper 1241', 'Paper 3447']"
Academic 79,"['Architecture, Built Environment and Planning']","['Paper 519', 'Paper 2281', 'Paper 4924', 'Paper 3292']"
Academic 80,['Engineering'],"['Paper 2624', 'Paper 76', 'Paper 1072', 'Paper 4907', 'Paper 531']"
Academic 81,['Theology and Religious Studies'],"['Paper 3437', 'Paper 4064', 'Paper 883', 'Paper 1475', 'Paper 743']"
Academic 82,"['Agriculture, Food and Veterinary Sciences']","['Paper 4306', 'Paper 44', 'Paper 1856']"
Academic 83,['Earth Systems and Environmental Sciences'],[]
Academic 84,['Anthropology and Development Studies'],"['Paper 3056', 'Paper 1773', 'Paper 1924']"
Academic 85,['Theology and Religious Studies'],"['Paper 288', 'Paper 1919', 'Paper 804', 'Paper 2376', 'Paper 1049']"
Academic 86,['Biological Sciences'],[]
Academic 87,['Chemistry'],"['Paper 4534', 'Paper 3419', 'Paper 3433']"
Academic 88,['History'],"['Paper 54', 'Paper 921', 'Paper 4538', 'Paper 856', 'Paper 4581']"
Academic 89,['Politics and International Studies'],"['Paper 4540', 'Paper 1696']"
Academic 90,['Clinical Medicine'],['Paper 1348']
Academic 91,['Theology and Religious Studies'],"['Paper 349', 'Paper 3660', 'Paper 396', 'Paper 1907', 'Paper 1401']"
Academic 92,"['Art and Design: History, Practice and Theory']","['Paper 308', 'Paper 1039', 'Paper 2814', 'Paper 3095', 'Paper 1179']"
Academic 93,['History'],"['Paper 4689', 'Paper 483', 'Paper 4619', 'Paper 151', 'Paper 1526']"
Academic 94,"['Architecture, Built Environment and Planning']","['Paper 1970', 'Paper 4412', 'Paper 318', 'Paper 441']"
Academic 95,"['Architecture, Built Environment and Planning']","['Paper 2964', 'Paper 3150', 'Paper 1226', 'Paper 4708']"
Academic 96,['Law'],"['Paper 277', 'Paper 2115', 'Paper 4816', 'Paper 149']"
Academic 97,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 279', 'Paper 2257', 'Paper 3044', 'Paper 49', 'Paper 57']"
Academic 98,['English Language and Literature'],[]
Academic 99,['Chemistry'],"['Paper 436', 'Paper 1550']"
Academic 100,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 1552', 'Paper 4656', 'Paper 3545']"
Academic 101,"['Theology and Religious Studies', 'Biological Sciences']",[]
Academic 102,['Anthropology and Development Studies'],['Paper 2828']
Academic 103,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 1163', 'Paper 2395', 'Paper 2185', 'Paper 4964', 'Paper 3805']"
Academic 104,"['Public Health, Health Services and Primary Care']",[]
Academic 105,['Theology and Religious Studies'],"['Paper 814', 'Paper 816', 'Paper 651', 'Paper 4733', 'Paper 1210']"
Academic 106,['Geography and Environmental Studies'],['Paper 3349']
Academic 107,['History'],"['Paper 4360', 'Paper 475', 'Paper 407', 'Paper 2764', 'Paper 945']"
Academic 108,['Education'],"['Paper 2903', 'Paper 565', 'Paper 576', 'Paper 96', 'Paper 2855']"
Academic 109,['Archaeology'],"['Paper 2398', 'Paper 1414', 'Paper 2005']"
Academic 110,['Mathematical Sciences'],['Paper 4520']
Academic 111,['Geography and Environmental Studies'],['Paper 840']
Academic 112,['Physics'],[]
Academic 113,['Biological Sciences'],['Paper 2599']
Academic 114,"['Biological Sciences', 'Modern Languages and Linguistics', 'Economics and Econometrics']",[]
Academic 115,"['Art and Design: History, Practice and Theory', 'Clinical Medicine', 'Area Studies']",[]
Academic 116,['Education'],"['Paper 4355', 'Paper 3313', 'Paper 3072', 'Paper 2896', 'Paper 2807']"
Academic 117,"['History', 'Classics', 'Art and Design: History, Practice and Theory']",[]
Academic 118,['Area Studies'],['Paper 984']
Academic 119,['Philosophy'],['Paper 4115']
Academic 120,['Philosophy'],"['Paper 3036', 'Paper 3620']"
Academic 121,"['Business and Management Studies', 'History']",[]
Academic 122,['Chemistry'],[]
Academic 123,['History'],"['Paper 980', 'Paper 2083', 'Paper 3628', 'Paper 1296']"
Academic 124,['Law'],"['Paper 251', 'Paper 280']"
Academic 125,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 305', 'Paper 364', 'Paper 4138', 'Paper 2212', 'Paper 2164']"
Academic 126,['Sociology'],"['Paper 4324', 'Paper 1277', 'Paper 1244']"
Academic 127,['Geography and Environmental Studies'],"['Paper 1700', 'Paper 1541', 'Paper 4909', 'Paper 4530']"
Academic 128,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 2325', 'Paper 1215', 'Paper 1093', 'Paper 3240', 'Paper 2897']"
Academic 129,['Mathematical Sciences'],"['Paper 2444', 'Paper 4544', 'Paper 2145']"
Academic 130,['Physics'],[]
Academic 131,['Theology and Religious Studies'],"['Paper 1846', 'Paper 640', 'Paper 1761', 'Paper 2682', 'Paper 1365']"
Academic 132,['Chemistry'],[]
Academic 133,['Archaeology'],"['Paper 4336', 'Paper 1985']"
Academic 134,['Philosophy'],"['Paper 572', 'Paper 955']"
Academic 135,['Earth Systems and Environmental Sciences'],"['Paper 3639', 'Paper 3489', 'Paper 532']"
Academic 136,"['Architecture, Built Environment and Planning']",['Paper 4005']
Academic 137,['Sociology'],"['Paper 1769', 'Paper 4094', 'Paper 315', 'Paper 3160']"
Academic 138,"['Agriculture, Food and Veterinary Sciences']","['Paper 2945', 'Paper 2523', 'Paper 4406', 'Paper 1219', 'Paper 4228']"
Academic 139,"['History', 'Communication, Cultural and Media Studies, Library and Information Management', 'Art and Design: History, Practice and Theory', 'Social Work and Social Policy']",[]
Academic 140,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 4103', 'Paper 2474', 'Paper 1222', 'Paper 158']"
Academic 141,['Classics'],[]
Academic 142,['Clinical Medicine'],[]
Academic 143,['Classics'],[]
Academic 144,"['Clinical Medicine', 'Psychology, Psychiatry and Neuroscience', 'Architecture, Built Environment and Planning']",[]
Academic 145,['Economics and Econometrics'],"['Paper 255', 'Paper 3655']"
Academic 146,['Mathematical Sciences'],"['Paper 26', 'Paper 3649']"
Academic 147,['Mathematical Sciences'],"['Paper 790', 'Paper 2743']"
Academic 148,['Modern Languages and Linguistics'],"['Paper 819', 'Paper 4106']"
Academic 149,['Physics'],[]
Academic 150,['English Language and Literature'],"['Paper 1529', 'Paper 652', 'Paper 1345']"
Academic 151,['Engineering'],"['Paper 2007', 'Paper 294', 'Paper 3822']"
Academic 152,['Clinical Medicine'],[]
Academic 153,['Business and Management Studies'],"['Paper 1711', 'Paper 3084', 'Paper 282', 'Paper 988', 'Paper 639']"
Academic 154,['Biological Sciences'],"['Paper 4062', 'Paper 1531', 'Paper 216']"
Academic 155,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']",[]
Academic 156,['Law'],"['Paper 1023', 'Paper 1005', 'Paper 1964', 'Paper 3946']"
Academic 157,['Engineering'],"['Paper 3116', 'Paper 3550', 'Paper 120']"
Academic 158,"['Public Health, Health Services and Primary Care']",[]
Academic 159,"['Sport and Exercise Sciences, Leisure and Tourism', 'Art and Design: History, Practice and Theory']",['Paper 1808']
Academic 160,['Area Studies'],"['Paper 3006', 'Paper 1250', 'Paper 2575']"
Academic 161,['Engineering'],"['Paper 2861', 'Paper 1343', 'Paper 3674', 'Paper 2967', 'Paper 2237']"
Academic 162,['Biological Sciences'],"['Paper 295', 'Paper 3013', 'Paper 792', 'Paper 99']"
Academic 163,['Engineering'],"['Paper 1281', 'Paper 80', 'Paper 75']"
Academic 164,['Computer Science and Informatics'],"['Paper 2155', 'Paper 4114', 'Paper 345']"
Academic 165,['Biological Sciences'],['Paper 2765']
Academic 166,['Theology and Religious Studies'],"['Paper 632', 'Paper 324', 'Paper 1615', 'Paper 3851', 'Paper 638']"
Academic 167,"['Architecture, Built Environment and Planning']","['Paper 2766', 'Paper 3404', 'Paper 4923']"
Academic 168,['Earth Systems and Environmental Sciences'],['Paper 770']
Academic 169,"['Communication, Cultural and Media Studies, Library and Information Management', 'Law']",[]
Academic 170,['Engineering'],"['Paper 2365', 'Paper 1213', 'Paper 1455', 'Paper 1177']"
Academic 171,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 3615', 'Paper 329', 'Paper 2546']"
Academic 172,"['Theology and Religious Studies', 'Geography and Environmental Studies', 'Economics and Econometrics', 'Modern Languages and Linguistics']",[]
Academic 173,['Education'],"['Paper 41', 'Paper 1635', 'Paper 4438', 'Paper 582', 'Paper 2780']"
Academic 174,['Mathematical Sciences'],"['Paper 4772', 'Paper 3362', 'Paper 608', 'Paper 3444']"
Academic 175,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 3955', 'Paper 312', 'Paper 1652', 'Paper 3033']"
Academic 176,['Biological Sciences'],"['Paper 2880', 'Paper 3174']"
Academic 177,['Engineering'],['Paper 422']
Academic 178,['Computer Science and Informatics'],[]
Academic 179,['History'],"['Paper 2359', 'Paper 3910', 'Paper 39', 'Paper 1048', 'Paper 1466']"
Academic 180,['Area Studies'],[]
Academic 181,['Biological Sciences'],"['Paper 1586', 'Paper 121', 'Paper 1069']"
Academic 182,['Law'],"['Paper 3518', 'Paper 3671']"
Academic 183,"['Law', 'Classics', 'Sport and Exercise Sciences, Leisure and Tourism']",[]
Academic 184,['Area Studies'],['Paper 2098']
Academic 185,['Archaeology'],"['Paper 1643', 'Paper 1130', 'Paper 4618', 'Paper 854']"
Academic 186,['Earth Systems and Environmental Sciences'],['Paper 1821']
Academic 187,['Chemistry'],[]
Academic 188,"['Agriculture, Food and Veterinary Sciences']","['Paper 1386', 'Paper 1099', 'Paper 3616', 'Paper 3067', 'Paper 66']"
Academic 189,['Computer Science and Informatics'],"['Paper 126', 'Paper 1127']"
Academic 190,"['Psychology, Psychiatry and Neuroscience']","['Paper 4998', 'Paper 3179', 'Paper 4827', 'Paper 397', 'Paper 1624']"
Academic 191,['Philosophy'],"['Paper 446', 'Paper 4662', 'Paper 2775']"
Academic 192,"['Agriculture, Food and Veterinary Sciences']","['Paper 2375', 'Paper 2217', 'Paper 1665', 'Paper 157', 'Paper 4871']"
Academic 193,['Politics and International Studies'],"['Paper 4591', 'Paper 1008', 'Paper 3525']"
Academic 194,"['Public Health, Health Services and Primary Care']","['Paper 661', 'Paper 402']"
Academic 195,['Economics and Econometrics'],"['Paper 1324', 'Paper 849']"
Academic 196,['Sociology'],"['Paper 4444', 'Paper 494', 'Paper 3595', 'Paper 498', 'Paper 1555']"
Academic 197,['Law'],"['Paper 2166', 'Paper 4550', 'Paper 3994', 'Paper 148']"
Academic 198,"['Psychology, Psychiatry and Neuroscience', 'Economics and Econometrics', 'Philosophy', 'Archaeology']",[]
Academic 199,"['Architecture, Built Environment and Planning']","['Paper 721', 'Paper 3045', 'Paper 481']"
Academic 200,['English Language and Literature'],['Paper 2920']
Academic 201,['Earth Systems and Environmental Sciences'],[]
Academic 202,['Politics and International Studies'],['Paper 1146']
Academic 203,['Chemistry'],[]
Academic 204,['Philosophy'],"['Paper 4603', 'Paper 2434']"
Academic 205,['Archaeology'],['Paper 1300']
Academic 206,['Computer Science and Informatics'],['Paper 4657']
Academic 207,['Economics and Econometrics'],['Paper 3631']
Academic 208,['Computer Science and Informatics'],"['Paper 3847', 'Paper 4993']"
Academic 209,"['Agriculture, Food and Veterinary Sciences']","['Paper 3035', 'Paper 4940']"
Academic 210,['Modern Languages and Linguistics'],[]
Academic 211,['Sociology'],"['Paper 1884', 'Paper 1764', 'Paper 1020', 'Paper 4575']"
Academic 212,['English Language and Literature'],[]
Academic 213,['Modern Languages and Linguistics'],"['Paper 1727', 'Paper 4181']"
Academic 214,['Archaeology'],"['Paper 699', 'Paper 3763', 'Paper 1124', 'Paper 213', 'Paper 1512']"
Academic 215,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 405', 'Paper 310', 'Paper 3140', 'Paper 351', 'Paper 4644']"
Academic 216,['Mathematical Sciences'],['Paper 1712']
Academic 217,"['Agriculture, Food and Veterinary Sciences']","['Paper 2339', 'Paper 1733', 'Paper 3189', 'Paper 3826']"
Academic 218,['Earth Systems and Environmental Sciences'],"['Paper 2715', 'Paper 3183', 'Paper 2654', 'Paper 2703']"
Academic 219,['Business and Management Studies'],"['Paper 42', 'Paper 1703', 'Paper 3515', 'Paper 795', 'Paper 2037']"
Academic 220,['Education'],"['Paper 4780', 'Paper 4340', 'Paper 599', 'Paper 2087', 'Paper 4904']"
Academic 221,['Business and Management Studies'],"['Paper 2021', 'Paper 1109', 'Paper 1521']"
Academic 222,['Social Work and Social Policy'],"['Paper 1917', 'Paper 3857', 'Paper 732', 'Paper 2034']"
Academic 223,"['Art and Design: History, Practice and Theory']","['Paper 1239', 'Paper 2383', 'Paper 1306', 'Paper 3761', 'Paper 137']"
Academic 224,['Business and Management Studies'],"['Paper 1519', 'Paper 1407', 'Paper 1079', 'Paper 4479']"
Academic 225,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 4247', 'Paper 1115', 'Paper 2429', 'Paper 1155']"
Academic 226,['Earth Systems and Environmental Sciences'],['Paper 3151']
Academic 227,['Education'],"['Paper 3659', 'Paper 4987', 'Paper 809', 'Paper 1647', 'Paper 64']"
Academic 228,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 1194', 'Paper 1359', 'Paper 4205', 'Paper 2020', 'Paper 754']"
Academic 229,['Earth Systems and Environmental Sciences'],['Paper 3137']
Academic 230,['Law'],['Paper 350']
Academic 231,['Anthropology and Development Studies'],['Paper 555']
Academic 232,"['Classics', 'Computer Science and Informatics', 'English Language and Literature']",[]
Academic 233,['Chemistry'],['Paper 2936']
Academic 234,['Area Studies'],"['Paper 92', 'Paper 1672']"
Academic 235,"['Art and Design: History, Practice and Theory']","['Paper 2547', 'Paper 179', 'Paper 623', 'Paper 2583', 'Paper 2521']"
Academic 236,['Geography and Environmental Studies'],"['Paper 2490', 'Paper 4505', 'Paper 34', 'Paper 3773']"
Academic 237,"['Architecture, Built Environment and Planning', 'Anthropology and Development Studies', 'Anthropology and Development Studies']",[]
Academic 238,['Chemistry'],['Paper 1974']
Academic 239,['Law'],"['Paper 2882', 'Paper 1572', 'Paper 3548', 'Paper 3110']"
Academic 240,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 2718', 'Paper 4683', 'Paper 579', 'Paper 851', 'Paper 587']"
Academic 241,['Geography and Environmental Studies'],"['Paper 3341', 'Paper 744', 'Paper 954', 'Paper 737', 'Paper 230']"
Academic 242,['History'],"['Paper 2331', 'Paper 4245', 'Paper 2935']"
Academic 243,['Modern Languages and Linguistics'],"['Paper 3107', 'Paper 2924']"
Academic 244,"['Psychology, Psychiatry and Neuroscience']","['Paper 2540', 'Paper 3431', 'Paper 125', 'Paper 1259', 'Paper 2579']"
Academic 245,['Clinical Medicine'],['Paper 933']
Academic 246,"['Public Health, Health Services and Primary Care']","['Paper 1776', 'Paper 884']"
Academic 247,"['Architecture, Built Environment and Planning']","['Paper 4417', 'Paper 4726', 'Paper 4713', 'Paper 94']"
Academic 248,['Mathematical Sciences'],['Paper 138']
Academic 249,['Law'],"['Paper 4570', 'Paper 1946', 'Paper 4329']"
Academic 250,"['Psychology, Psychiatry and Neuroscience']","['Paper 3414', 'Paper 1564', 'Paper 4730', 'Paper 4346', 'Paper 4806']"
Academic 251,['Social Work and Social Policy'],"['Paper 3869', 'Paper 376', 'Paper 535', 'Paper 549', 'Paper 411']"
Academic 252,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 1446', 'Paper 1148', 'Paper 914', 'Paper 1802']"
Academic 253,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 650', 'Paper 2085', 'Paper 55', 'Paper 889', 'Paper 4624']"
Academic 254,['Modern Languages and Linguistics'],['Paper 1310']
Academic 255,"['Art and Design: History, Practice and Theory']",['Paper 1400']
Academic 256,['History'],"['Paper 3105', 'Paper 1959', 'Paper 314', 'Paper 245', 'Paper 3635']"
Academic 257,['Economics and Econometrics'],"['Paper 1685', 'Paper 3484', 'Paper 2755', 'Paper 3727', 'Paper 3370']"
Academic 258,['Earth Systems and Environmental Sciences'],['Paper 260']
Academic 259,['Social Work and Social Policy'],"['Paper 2803', 'Paper 1089', 'Paper 1356', 'Paper 3423', 'Paper 627']"
Academic 260,"['Public Health, Health Services and Primary Care']",[]
Academic 261,['Education'],"['Paper 3448', 'Paper 1956', 'Paper 682', 'Paper 1787', 'Paper 1319']"
Academic 262,"['Economics and Econometrics', 'Biological Sciences']",[]
Academic 263,['Business and Management Studies'],"['Paper 2402', 'Paper 84', 'Paper 1077']"
Academic 264,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']",['Paper 4857']
Academic 265,"['Architecture, Built Environment and Planning']","['Paper 2806', 'Paper 2017', 'Paper 774']"
Academic 266,['Engineering'],"['Paper 3506', 'Paper 4443', 'Paper 242', 'Paper 2140', 'Paper 442']"
Academic 267,['Social Work and Social Policy'],"['Paper 948', 'Paper 2973', 'Paper 2442', 'Paper 3789', 'Paper 1939']"
Academic 268,"['Communication, Cultural and Media Studies, Library and Information Management', 'Communication, Cultural and Media Studies, Library and Information Management', 'Sport and Exercise Sciences, Leisure and Tourism']",[]
Academic 269,['Geography and Environmental Studies'],"['Paper 2778', 'Paper 1405', 'Paper 210']"
Academic 270,['Physics'],['Paper 2470']
Academic 271,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 4628', 'Paper 1080']"
Academic 272,"['Architecture, Built Environment and Planning']","['Paper 4854', 'Paper 1560', 'Paper 4488']"
Academic 273,"['English Language and Literature', 'Social Work and Social Policy', 'Sport and Exercise Sciences, Leisure and Tourism']",[]
Academic 274,['Geography and Environmental Studies'],[]
Academic 275,['Classics'],[]
Academic 276,['Biological Sciences'],"['Paper 1166', 'Paper 1825', 'Paper 2549']"
Academic 277,['Physics'],[]
Academic 278,['Geography and Environmental Studies'],"['Paper 3915', 'Paper 30', 'Paper 4314', 'Paper 1735']"
Academic 279,"['Geography and Environmental Studies', 'Theology and Religious Studies']",[]
Academic 280,['English Language and Literature'],[]
Academic 281,['Engineering'],"['Paper 468', 'Paper 2408', 'Paper 1057']"
Academic 282,['Mathematical Sciences'],"['Paper 802', 'Paper 3369', 'Paper 1806']"
Academic 283,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 2205', 'Paper 3651']"
Academic 284,['Area Studies'],"['Paper 2084', 'Paper 13', 'Paper 2412']"
Academic 285,"['Art and Design: History, Practice and Theory']","['Paper 2818', 'Paper 4452', 'Paper 710']"
Academic 286,['Earth Systems and Environmental Sciences'],['Paper 781']
Academic 287,"['Art and Design: History, Practice and Theory']","['Paper 47', 'Paper 995', 'Paper 296', 'Paper 4514']"
Academic 288,['Geography and Environmental Studies'],['Paper 1679']
Academic 289,"['Art and Design: History, Practice and Theory']","['Paper 2552', 'Paper 1191', 'Paper 1533', 'Paper 837']"
Academic 290,['Sociology'],"['Paper 3368', 'Paper 4838', 'Paper 705']"
Academic 291,['Physics'],[]
Academic 292,['Theology and Religious Studies'],"['Paper 4222', 'Paper 449', 'Paper 4439', 'Paper 4171', 'Paper 2125']"
Academic 293,['Law'],"['Paper 1899', 'Paper 371', 'Paper 2079', 'Paper 3654', 'Paper 2094']"
Academic 294,['Archaeology'],"['Paper 3882', 'Paper 1051', 'Paper 3804', 'Paper 767']"
Academic 295,['Physics'],['Paper 1613']
Academic 296,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 1173', 'Paper 426', 'Paper 3544', 'Paper 1607', 'Paper 2423']"
Academic 297,['Engineering'],"['Paper 4002', 'Paper 4610', 'Paper 3031']"
Academic 298,['Area Studies'],['Paper 418']
Academic 299,['Social Work and Social Policy'],"['Paper 2644', 'Paper 1002', 'Paper 3493']"
Academic 300,['Chemistry'],['Paper 513']
Academic 301,['Sociology'],"['Paper 306', 'Paper 833', 'Paper 903']"
Academic 302,['Engineering'],"['Paper 3028', 'Paper 4211', 'Paper 3003', 'Paper 1608']"
Academic 303,['Computer Science and Informatics'],"['Paper 3762', 'Paper 4151', 'Paper 2994', 'Paper 645', 'Paper 3287']"
Academic 304,['Business and Management Studies'],"['Paper 50', 'Paper 3326', 'Paper 4428', 'Paper 3569', 'Paper 3527']"
Academic 305,['English Language and Literature'],['Paper 373']
Academic 306,['Philosophy'],['Paper 471']
Academic 307,['Mathematical Sciences'],"['Paper 1631', 'Paper 4022']"
Academic 308,['History'],"['Paper 3852', 'Paper 202', 'Paper 238', 'Paper 4122', 'Paper 1500']"
Academic 309,"['Agriculture, Food and Veterinary Sciences']","['Paper 4794', 'Paper 4167', 'Paper 118']"
Academic 310,['Sociology'],['Paper 1063']
Academic 311,['Philosophy'],"['Paper 4614', 'Paper 3583', 'Paper 3153', 'Paper 1073', 'Paper 1601']"
Academic 312,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 3854', 'Paper 1450', 'Paper 2086', 'Paper 3891']"
Academic 313,"['Economics and Econometrics', 'History', 'Geography and Environmental Studies']",[]
Academic 314,['English Language and Literature'],[]
Academic 315,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 293', 'Paper 4933', 'Paper 1865', 'Paper 3786', 'Paper 2015']"
