institution_id,institution_name,uoa_id,uoa_name,submission_fte,output_count,aggregate_ref_score
10000291,Anglia Ruskin University Higher Education Corporation,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",8.01,50,3.35
10000291,Anglia Ruskin University Higher Education Corporation,34,"Communication, Cultural and Media Studies, Library and Information Management",5,85,3.31
10000385,"Arts University Bournemouth, the",32,"Art and Design: History, Practice and Theory",29.83,45,2.67
10000385,"Arts University Bournemouth, the",33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",15.5,25,2.54
10007162,"University of the Arts, London",32,"Art and Design: History, Practice and Theory",191.5,30,3.18
10007759,Aston University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",107.26,100,3.18
10007759,Aston University,11,Computer Science and Informatics,34,100,2.84
10007759,Aston University,12,Engineering,103.45,100,2.97
10007759,Aston University,17,Business and Management Studies,109.05,100,3.09
10007759,Aston University,21,Sociology,17.8,100,2.99
10007759,Aston University,25,Area Studies,27.6,100,3.2
10007759,Aston University,26,Modern Languages and Linguistics,36.2,100,2.96
10007857,Bangor University / Prifysgol Bangor,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",22.16,100,3.4
10007857,Bangor University / Prifysgol Bangor,4,"Psychology, Psychiatry and Neuroscience",28.76,100,3.17
10007857,Bangor University / Prifysgol Bangor,7,Earth Systems and Environmental Sciences,75.3,100,3.54
10007857,Bangor University / Prifysgol Bangor,12,Engineering,25.55,100,3.02
10007857,Bangor University / Prifysgol Bangor,17,Business and Management Studies,21.7,100,2.92
10007857,Bangor University / Prifysgol Bangor,21,Sociology,28.7,100,2.81
10007857,Bangor University / Prifysgol Bangor,24,"Sport and Exercise Sciences, Leisure and Tourism",16.8,100,3.65
10007857,Bangor University / Prifysgol Bangor,26,Modern Languages and Linguistics,32.8,100,3.08
10007857,Bangor University / Prifysgol Bangor,27,English Language and Literature,18.8,100,3.07
10007850,The University of Bath,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",34.5,100,3.51
10007850,The University of Bath,4,"Psychology, Psychiatry and Neuroscience",61.45,100,3.03
10007850,The University of Bath,5,Biological Sciences,46.2,100,3.2
10007850,The University of Bath,8,Chemistry,41.6,100,3.52
10007850,The University of Bath,9,Physics,38.8,100,3.38
10007850,The University of Bath,10,Mathematical Sciences,64.9,100,3.46
10007850,The University of Bath,11,Computer Science and Informatics,29,100,3.35
10007850,The University of Bath,12,Engineering,157.1,100,3.3
10007850,The University of Bath,16,Economics and Econometrics,40.2,100,2.89
10007850,The University of Bath,17,Business and Management Studies,94.7,100,3.49
10007850,The University of Bath,19,Politics and International Studies,34.9,100,2.97
10007850,The University of Bath,20,Social Work and Social Policy,46.82,100,3.39
10007850,The University of Bath,23,Education,34.8,100,3.14
10007850,The University of Bath,24,"Sport and Exercise Sciences, Leisure and Tourism",37.7,100,3.63
10000571,Bath Spa University,4,"Psychology, Psychiatry and Neuroscience",18.5,75,2.06
10000571,Bath Spa University,14,Geography and Environmental Studies,9.15,80,2.55
10000571,Bath Spa University,17,Business and Management Studies,12,35,2.57
10000571,Bath Spa University,23,Education,26.6,30,2.72
10000571,Bath Spa University,27,English Language and Literature,32.35,90,3.23
10000571,Bath Spa University,28,History,11,100,2.7
10000571,Bath Spa University,32,"Art and Design: History, Practice and Theory",25.4,70,2.51
10000571,Bath Spa University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",23.3,40,2.61
10000571,Bath Spa University,34,"Communication, Cultural and Media Studies, Library and Information Management",14.3,50,3.06
10007152,University of Bedfordshire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",27.7,30,2.58
10007152,University of Bedfordshire,11,Computer Science and Informatics,10,45,2.2
10007152,University of Bedfordshire,12,Engineering,8.8,75,2.1
10007152,University of Bedfordshire,17,Business and Management Studies,8,15,2.64
10007152,University of Bedfordshire,20,Social Work and Social Policy,23.8,35,3.16
10007152,University of Bedfordshire,23,Education,9.1,20,2.38
10007152,University of Bedfordshire,24,"Sport and Exercise Sciences, Leisure and Tourism",10.6,35,2.8
10007152,University of Bedfordshire,27,English Language and Literature,7.2,80,3.65
10007152,University of Bedfordshire,34,"Communication, Cultural and Media Studies, Library and Information Management",14.6,45,2.63
10007760,Birkbeck College,4,"Psychology, Psychiatry and Neuroscience",30.8,100,3.52
10007760,Birkbeck College,5,Biological Sciences,26,100,3.44
10007760,Birkbeck College,7,Earth Systems and Environmental Sciences,9.8,100,3.47
10007760,Birkbeck College,11,Computer Science and Informatics,25.6,100,3.41
10007760,Birkbeck College,14,Geography and Environmental Studies,19.8,100,2.48
10007760,Birkbeck College,16,Economics and Econometrics,26.15,100,3.01
10007760,Birkbeck College,17,Business and Management Studies,55.1,100,2.99
10007760,Birkbeck College,18,Law,44.1,100,2.91
10007760,Birkbeck College,19,Politics and International Studies,16,100,3.08
10007760,Birkbeck College,21,Sociology,15.15,100,3.03
10007760,Birkbeck College,26,Modern Languages and Linguistics,21.7,100,2.97
10007760,Birkbeck College,27,English Language and Literature,40.3,100,3.66
10007760,Birkbeck College,28,History,41.63,100,3.43
10007760,Birkbeck College,30,Philosophy,13.33,100,2.81
10007760,Birkbeck College,32,"Art and Design: History, Practice and Theory",32.55,100,3.62
10006840,The University of Birmingham,1,Clinical Medicine,224,90,3.39
10006840,The University of Birmingham,2,"Public Health, Health Services and Primary Care",46,95,3.6
10006840,The University of Birmingham,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",45.3,90,3.36
10006840,The University of Birmingham,4,"Psychology, Psychiatry and Neuroscience",55.4,100,3.48
10006840,The University of Birmingham,5,Biological Sciences,60.8,100,3.38
10006840,The University of Birmingham,7,Earth Systems and Environmental Sciences,30.8,100,3.63
10006840,The University of Birmingham,8,Chemistry,30.8,100,3.32
10006840,The University of Birmingham,9,Physics,55.2,100,3.61
10006840,The University of Birmingham,10,Mathematical Sciences,57.2,100,3.45
10006840,The University of Birmingham,11,Computer Science and Informatics,42.7,100,3.77
10006840,The University of Birmingham,12,Engineering,143.25,100,3.49
10006840,The University of Birmingham,14,Geography and Environmental Studies,40.2,100,3.27
10006840,The University of Birmingham,17,Business and Management Studies,141.15,100,3.3
10006840,The University of Birmingham,18,Law,45.2,100,3.4
10006840,The University of Birmingham,19,Politics and International Studies,49,95,3.23
10006840,The University of Birmingham,20,Social Work and Social Policy,46.4,100,3.42
10006840,The University of Birmingham,22,Anthropology and Development Studies,16,100,3.3
10006840,The University of Birmingham,23,Education,34.44,100,3.55
10006840,The University of Birmingham,24,"Sport and Exercise Sciences, Leisure and Tourism",45.2,100,3.63
10006840,The University of Birmingham,25,Area Studies,7,100,3.56
10006840,The University of Birmingham,26,Modern Languages and Linguistics,34.5,100,3.29
10006840,The University of Birmingham,27,English Language and Literature,74.7,100,3.55
10006840,The University of Birmingham,28,History,43.2,100,3.43
10006840,The University of Birmingham,29,Classics,18.7,100,3.24
10006840,The University of Birmingham,30,Philosophy,17,100,3.5
10006840,The University of Birmingham,31,Theology and Religious Studies,19.9,100,3.49
10006840,The University of Birmingham,32,"Art and Design: History, Practice and Theory",10,100,3.57
10006840,The University of Birmingham,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",26.6,100,3.21
10007140,Birmingham City University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",16.45,5,2.95
10007140,Birmingham City University,4,"Psychology, Psychiatry and Neuroscience",31.7,60,2.19
10007140,Birmingham City University,11,Computer Science and Informatics,30,35,2.51
10007140,Birmingham City University,12,Engineering,16,50,2.61
10007140,Birmingham City University,13,"Architecture, Built Environment and Planning",11.4,35,2.97
10007140,Birmingham City University,17,Business and Management Studies,23,20,2.36
10007140,Birmingham City University,18,Law,11,25,2.28
10007140,Birmingham City University,20,Social Work and Social Policy,13.2,40,2.59
10007140,Birmingham City University,21,Sociology,14,70,2.41
10007140,Birmingham City University,23,Education,14.7,15,2.3
10007140,Birmingham City University,27,English Language and Literature,15.2,65,3.5
10007140,Birmingham City University,32,"Art and Design: History, Practice and Theory",32.61,15,2.87
10007140,Birmingham City University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",29.7,40,3.14
10007140,Birmingham City University,34,"Communication, Cultural and Media Studies, Library and Information Management",31.21,60,2.99
10007811,Bishop Grosseteste University,4,"Psychology, Psychiatry and Neuroscience",9,85,1.82
10007811,Bishop Grosseteste University,23,Education,20.5,30,1.77
10007811,Bishop Grosseteste University,27,English Language and Literature,5,100,2.49
10007811,Bishop Grosseteste University,28,History,6,90,2.03
10007811,Bishop Grosseteste University,31,Theology and Religious Studies,4.7,80,1.98
10006841,The University of Bolton,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",12.3,10,1.03
10006841,The University of Bolton,4,"Psychology, Psychiatry and Neuroscience",7,40,1.63
10006841,The University of Bolton,12,Engineering,14.8,50,2.59
10006841,The University of Bolton,17,Business and Management Studies,8,20,1.51
10006841,The University of Bolton,23,Education,9.35,30,1.47
10006841,The University of Bolton,27,English Language and Literature,6.4,65,2.6
10006841,The University of Bolton,32,"Art and Design: History, Practice and Theory",8.5,35,2.43
10000824,Bournemouth University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",77.33,65,2.72
10000824,Bournemouth University,4,"Psychology, Psychiatry and Neuroscience",43.7,95,2.73
10000824,Bournemouth University,11,Computer Science and Informatics,45.75,80,2.51
10000824,Bournemouth University,12,Engineering,19.3,90,2.38
10000824,Bournemouth University,14,Geography and Environmental Studies,28.7,100,2.87
10000824,Bournemouth University,15,Archaeology,23.61,95,3.24
10000824,Bournemouth University,17,Business and Management Studies,61.9,80,2.6
10000824,Bournemouth University,18,Law,14.95,75,2.59
10000824,Bournemouth University,20,Social Work and Social Policy,31.81,85,2.18
10000824,Bournemouth University,24,"Sport and Exercise Sciences, Leisure and Tourism",46.6,80,3.09
10000824,Bournemouth University,27,English Language and Literature,13,80,2.8
10000824,Bournemouth University,32,"Art and Design: History, Practice and Theory",32.5,75,2.97
10000824,Bournemouth University,34,"Communication, Cultural and Media Studies, Library and Information Management",73.86,70,3.09
10007785,The University of Bradford,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",63.5,35,2.99
10007785,The University of Bradford,4,"Psychology, Psychiatry and Neuroscience",13.2,85,2.09
10007785,The University of Bradford,8,Chemistry,19,95,2.82
10007785,The University of Bradford,11,Computer Science and Informatics,19,65,2.69
10007785,The University of Bradford,12,Engineering,42.6,90,2.81
10007785,The University of Bradford,15,Archaeology,14.3,95,3
10007785,The University of Bradford,17,Business and Management Studies,34.6,65,3.03
10007785,The University of Bradford,19,Politics and International Studies,15.36,80,2.75
10000886,University of Brighton,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",56.1,50,3.22
10000886,University of Brighton,11,Computer Science and Informatics,15,40,2.92
10000886,University of Brighton,12,Engineering,29,55,3.02
10000886,University of Brighton,14,Geography and Environmental Studies,38.6,85,2.94
10000886,University of Brighton,17,Business and Management Studies,30.45,35,2.73
10000886,University of Brighton,20,Social Work and Social Policy,45.9,65,2.83
10000886,University of Brighton,23,Education,13.5,15,3
10000886,University of Brighton,24,"Sport and Exercise Sciences, Leisure and Tourism",30.6,55,3.1
10000886,University of Brighton,32,"Art and Design: History, Practice and Theory",54.11,45,3.27
10000886,University of Brighton,34,"Communication, Cultural and Media Studies, Library and Information Management",63.85,65,3.1
10007786,University of Bristol,1,Clinical Medicine,94.63,100,3.39
10007786,University of Bristol,2,"Public Health, Health Services and Primary Care",152.55,100,3.68
10007786,University of Bristol,4,"Psychology, Psychiatry and Neuroscience",77.34,100,3.33
10007786,University of Bristol,5,Biological Sciences,70.5,100,3.53
10007786,University of Bristol,6,"Agriculture, Food and Veterinary Sciences",31.23,100,3.43
10007786,University of Bristol,7,Earth Systems and Environmental Sciences,44.5,100,3.67
10007786,University of Bristol,8,Chemistry,64.2,100,3.74
10007786,University of Bristol,9,Physics,54.1,100,3.6
10007786,University of Bristol,10,Mathematical Sciences,85.9,100,3.68
10007786,University of Bristol,11,Computer Science and Informatics,59.15,100,3.68
10007786,University of Bristol,12,Engineering,157.3,100,3.56
10007786,University of Bristol,14,Geography and Environmental Studies,49.85,100,3.55
10007786,University of Bristol,16,Economics and Econometrics,39,100,3.45
10007786,University of Bristol,17,Business and Management Studies,76.55,100,3.18
10007786,University of Bristol,18,Law,63.5,100,3.51
10007786,University of Bristol,19,Politics and International Studies,32.8,100,3.29
10007786,University of Bristol,20,Social Work and Social Policy,47.1,100,3.69
10007786,University of Bristol,21,Sociology,24.4,100,3.22
10007786,University of Bristol,22,Anthropology and Development Studies,12.8,100,3.39
10007786,University of Bristol,23,Education,42.3,100,3.48
10007786,University of Bristol,24,"Sport and Exercise Sciences, Leisure and Tourism",9.4,100,3.71
10007786,University of Bristol,26,Modern Languages and Linguistics,45.6,100,3.45
10007786,University of Bristol,27,English Language and Literature,40.7,100,3.32
10007786,University of Bristol,28,History,44.9,100,3.36
10007786,University of Bristol,29,Classics,15,100,3.31
10007786,University of Bristol,30,Philosophy,23,100,3.29
10007786,University of Bristol,31,Theology and Religious Studies,7.45,100,3.15
10007786,University of Bristol,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",28.1,100,3.41
10000961,Brunel University London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",72.8,100,3.17
10000961,Brunel University London,4,"Psychology, Psychiatry and Neuroscience",34,100,2.52
10000961,Brunel University London,7,Earth Systems and Environmental Sciences,16.4,100,2.96
10000961,Brunel University London,10,Mathematical Sciences,26.4,100,2.89
10000961,Brunel University London,11,Computer Science and Informatics,37.3,100,2.82
10000961,Brunel University London,12,Engineering,152.8,100,2.92
10000961,Brunel University London,16,Economics and Econometrics,37.6,100,2.51
10000961,Brunel University London,17,Business and Management Studies,72,100,2.72
10000961,Brunel University London,18,Law,38.5,100,2.83
10000961,Brunel University London,19,Politics and International Studies,27,100,3
10000961,Brunel University London,21,Sociology,19.6,100,2.86
10000961,Brunel University London,22,Anthropology and Development Studies,11,100,3.05
10000961,Brunel University London,23,Education,18.2,100,2.59
10000961,Brunel University London,24,"Sport and Exercise Sciences, Leisure and Tourism",26,100,3.3
10000961,Brunel University London,27,English Language and Literature,22.5,100,3.07
10000961,Brunel University London,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",26,100,2.85
10000975,Buckinghamshire New University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",4,5,2.51
10000975,Buckinghamshire New University,7,Earth Systems and Environmental Sciences,2.2,100,2.4
10000975,Buckinghamshire New University,20,Social Work and Social Policy,4.6,30,2.38
10000975,Buckinghamshire New University,23,Education,8.5,35,1.48
10000975,Buckinghamshire New University,24,"Sport and Exercise Sciences, Leisure and Tourism",6.5,50,2.5
10000975,Buckinghamshire New University,32,"Art and Design: History, Practice and Theory",4.2,20,2.93
10007788,University of Cambridge,1,Clinical Medicine,363.43,100,3.63
10007788,University of Cambridge,2,"Public Health, Health Services and Primary Care",99.76,100,3.69
10007788,University of Cambridge,4,"Psychology, Psychiatry and Neuroscience",150.65,105,3.61
10007788,University of Cambridge,5,Biological Sciences,246.13,100,3.61
10007788,University of Cambridge,6,"Agriculture, Food and Veterinary Sciences",51.9,100,3.4
10007788,University of Cambridge,7,Earth Systems and Environmental Sciences,46,105,3.72
10007788,University of Cambridge,8,Chemistry,77.23,110,3.72
10007788,University of Cambridge,9,Physics,148.2,110,3.63
10007788,University of Cambridge,10,Mathematical Sciences,152.85,130,3.7
10007788,University of Cambridge,11,Computer Science and Informatics,80.8,105,3.59
10007788,University of Cambridge,12,Engineering,255.51,105,3.69
10007788,University of Cambridge,13,"Architecture, Built Environment and Planning",46.3,100,3.63
10007788,University of Cambridge,14,Geography and Environmental Studies,48,110,3.43
10007788,University of Cambridge,15,Archaeology,47.13,105,3.56
10007788,University of Cambridge,16,Economics and Econometrics,48,115,3.54
10007788,University of Cambridge,17,Business and Management Studies,61.2,100,3.67
10007788,University of Cambridge,18,Law,112.95,120,3.36
10007788,University of Cambridge,19,Politics and International Studies,48.49,110,3.24
10007788,University of Cambridge,21,Sociology,31,120,3.54
10007788,University of Cambridge,22,Anthropology and Development Studies,39.6,125,3.02
10007788,University of Cambridge,23,Education,59.3,100,3.44
10007788,University of Cambridge,25,Area Studies,43.6,115,3.14
10007788,University of Cambridge,26,Modern Languages and Linguistics,115.35,125,3.31
10007788,University of Cambridge,27,English Language and Literature,104,190,3.43
10007788,University of Cambridge,28,History,135.5,170,3.24
10007788,University of Cambridge,29,Classics,58.12,135,3.17
10007788,University of Cambridge,30,Philosophy,72.6,115,3.31
10007788,University of Cambridge,31,Theology and Religious Studies,42.9,140,3.35
10007788,University of Cambridge,32,"Art and Design: History, Practice and Theory",34.37,115,3.48
10007788,University of Cambridge,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",26,150,3.58
10001143,Canterbury Christ Church University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",18.5,10,2.86
10001143,Canterbury Christ Church University,4,"Psychology, Psychiatry and Neuroscience",26.8,65,2.63
10001143,Canterbury Christ Church University,5,Biological Sciences,19.5,85,2.33
10001143,Canterbury Christ Church University,18,Law,27.7,60,2.4
10001143,Canterbury Christ Church University,19,Politics and International Studies,14.8,100,2.51
10001143,Canterbury Christ Church University,23,Education,19.8,15,2.79
10001143,Canterbury Christ Church University,24,"Sport and Exercise Sciences, Leisure and Tourism",19,50,3.08
10001143,Canterbury Christ Church University,27,English Language and Literature,8.5,100,3.27
10001143,Canterbury Christ Church University,28,History,16.3,100,2.65
10001143,Canterbury Christ Church University,31,Theology and Religious Studies,5.6,85,2.66
10001143,Canterbury Christ Church University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",12.1,80,2.96
10001143,Canterbury Christ Church University,34,"Communication, Cultural and Media Studies, Library and Information Management",16,60,2.99
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",31,35,2.66
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,17,Business and Management Studies,27.8,25,2.43
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,23,Education,15.6,20,2.29
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,24,"Sport and Exercise Sciences, Leisure and Tourism",42.2,45,3.16
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,32,"Art and Design: History, Practice and Theory",24,40,3.3
10007814,Cardiff University / Prifysgol Caerdydd,1,Clinical Medicine,86.93,100,3.18
10007814,Cardiff University / Prifysgol Caerdydd,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",138.95,100,3.39
10007814,Cardiff University / Prifysgol Caerdydd,4,"Psychology, Psychiatry and Neuroscience",116.07,100,3.55
10007814,Cardiff University / Prifysgol Caerdydd,5,Biological Sciences,94.87,100,3.3
10007814,Cardiff University / Prifysgol Caerdydd,7,Earth Systems and Environmental Sciences,38.4,100,3.57
10007814,Cardiff University / Prifysgol Caerdydd,8,Chemistry,39.35,100,3.43
10007814,Cardiff University / Prifysgol Caerdydd,9,Physics,52.2,100,3.45
10007814,Cardiff University / Prifysgol Caerdydd,10,Mathematical Sciences,44.2,100,3.26
10007814,Cardiff University / Prifysgol Caerdydd,11,Computer Science and Informatics,45.55,100,3.41
10007814,Cardiff University / Prifysgol Caerdydd,12,Engineering,108.88,100,3.35
10007814,Cardiff University / Prifysgol Caerdydd,13,"Architecture, Built Environment and Planning",32.3,100,3.53
10007814,Cardiff University / Prifysgol Caerdydd,14,Geography and Environmental Studies,56.57,100,3.03
10007814,Cardiff University / Prifysgol Caerdydd,15,Archaeology,16.5,100,3.4
10007814,Cardiff University / Prifysgol Caerdydd,17,Business and Management Studies,172.35,100,3.33
10007814,Cardiff University / Prifysgol Caerdydd,18,Law,49.2,100,3.34
10007814,Cardiff University / Prifysgol Caerdydd,19,Politics and International Studies,34.8,100,3.19
10007814,Cardiff University / Prifysgol Caerdydd,21,Sociology,49.74,100,3.29
10007814,Cardiff University / Prifysgol Caerdydd,23,Education,33.61,100,3.55
10007814,Cardiff University / Prifysgol Caerdydd,26,Modern Languages and Linguistics,34.5,100,3.3
10007814,Cardiff University / Prifysgol Caerdydd,27,English Language and Literature,64.6,100,3.51
10007814,Cardiff University / Prifysgol Caerdydd,28,History,48.5,100,3.04
10007814,Cardiff University / Prifysgol Caerdydd,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",17.2,100,3.15
10007814,Cardiff University / Prifysgol Caerdydd,34,"Communication, Cultural and Media Studies, Library and Information Management",31,100,3.66
10007141,University of Central Lancashire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",83.25,20,3
10007141,University of Central Lancashire,4,"Psychology, Psychiatry and Neuroscience",30,60,2.79
10007141,University of Central Lancashire,9,Physics,19.32,80,3.14
10007141,University of Central Lancashire,10,Mathematical Sciences,4,60,2.06
10007141,University of Central Lancashire,11,Computer Science and Informatics,14,55,2.5
10007141,University of Central Lancashire,12,Engineering,48.6,45,2.78
10007141,University of Central Lancashire,15,Archaeology,7,75,2.85
10007141,University of Central Lancashire,17,Business and Management Studies,17,15,2.67
10007141,University of Central Lancashire,18,Law,12.8,20,2.34
10007141,University of Central Lancashire,20,Social Work and Social Policy,27.2,45,3.23
10007141,University of Central Lancashire,24,"Sport and Exercise Sciences, Leisure and Tourism",41.4,55,2.53
10007141,University of Central Lancashire,25,Area Studies,13,85,2.82
10007141,University of Central Lancashire,26,Modern Languages and Linguistics,19,25,2.92
10007141,University of Central Lancashire,27,English Language and Literature,12.75,100,2.95
10007141,University of Central Lancashire,28,History,13.6,100,2.63
10007141,University of Central Lancashire,30,Philosophy,7.8,100,2.54
10007141,University of Central Lancashire,32,"Art and Design: History, Practice and Theory",22.9,40,2.89
10007141,University of Central Lancashire,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",12.6,90,2.29
10007141,University of Central Lancashire,34,"Communication, Cultural and Media Studies, Library and Information Management",11.75,20,2.73
10007848,University of Chester,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",34.11,95,2.81
10007848,University of Chester,4,"Psychology, Psychiatry and Neuroscience",19.8,55,2.35
10007848,University of Chester,5,Biological Sciences,15.3,70,2.05
10007848,University of Chester,8,Chemistry,12,100,2.24
10007848,University of Chester,10,Mathematical Sciences,6.5,100,2.35
10007848,University of Chester,11,Computer Science and Informatics,7.6,50,2.23
10007848,University of Chester,12,Engineering,14,80,2.25
10007848,University of Chester,14,Geography and Environmental Studies,11.6,85,2.03
10007848,University of Chester,15,Archaeology,6,100,2.46
10007848,University of Chester,17,Business and Management Studies,18.5,30,2.54
10007848,University of Chester,20,Social Work and Social Policy,19,85,2.25
10007848,University of Chester,23,Education,7.48,10,2.09
