Name,Subjects
Academic 149,['Mathematical Sciences']
Academic 150,['Law']
Academic 151,"['Agriculture, Food and Veterinary Sciences']"
Academic 152,"['Sport and Exercise Sciences, Leisure and Tourism', 'Social Work and Social Policy']"
Academic 153,['Philosophy']
Academic 154,['Theology and Religious Studies']
Academic 155,"['Communication, Cultural and Media Studies, Library and Information Management']"
Academic 156,['Economics and Econometrics']
Academic 157,"['Agriculture, Food and Veterinary Sciences']"
Academic 158,['Social Work and Social Policy']
Academic 159,['Politics and International Studies']
